,date,text,sentiment,title,Ticker
0,"Wed, 20 Nov 2019 16:15:00 -0500","SAN JOSE, Calif., Nov.  20, 2019  (GLOBE NEWSWIRE) -- California Water Service Group (Group) (NYSE: CWT) today announced the election of Scott L. Morris, 60, and Patricia K. (Patti) Wagner, 57, to the Company’s Board of Directors, effective January 1, 2020.",Neutral,California Water Service Group Announces Election of Morris and Wagner to Board of Directors,CWT
1,"Thu, 14 Nov 2019 08:01:00 -0500",Bright Water Utility Industry Outlook With Reducing Rates,Positive,Bright Water Utility Industry Outlook With Reducing Rates,CWT
2,"Wed, 06 Nov 2019 08:45:00 -0500","SAN JOSE, Calif., Nov.  06, 2019  (GLOBE NEWSWIRE) -- Washington Water Service (Washington Water), a subsidiary of California Water Service Group (NYSE: CWT), announced today that it has entered into an agreement with Rainier View Water Company (Rainier View Water) to acquire its water system assets and to provide water utility service to its 18,000 service connections, subject to certain closing conditions including completion of diligence and Washington Utilities and Transportation Commission approval.",Neutral,Washington Water Service Enters Into Agreement to Acquire Rainier View Water Company,CWT
3,"Thu, 31 Oct 2019 17:30:00 -0400","SAN JOSE, Calif., Oct.  31, 2019  (GLOBE NEWSWIRE) -- Sourcing Industry Group (SIG), a premier global sourcing association, presented California Water Service Group (Group) (NYSE: CWT) and its partner ProcureAbility with an “Innovations in Governance and Compliance” award at the organization’s recently announced 2019 annual Future of Sourcing Awards. This distinction was given for Group’s transformation of its contract management from localized practices into standardized processes supported by a suite of user-friendly mobile apps to facilitate field inspections, contract compliance, and regulatory governance.",Neutral,California Water Service Group and ProcureAbility Given “Innovations in Governance and Compliance” Award by SIG,CWT
4,"Thu, 31 Oct 2019 15:14:12 -0400",California Water Service Group (CWT) CEO Martin Kropelnicki on Q3 2019 Results - Earnings Call Transcript,Neutral,California Water Service Group (CWT) CEO Martin Kropelnicki on Q3 2019 Results - Earnings Call Transcript,CWT
5,"Thu, 31 Oct 2019 10:35:05 -0400","California Water  Service Group (CWT) delivered earnings and revenue surprises of 12.82% and 2.89%, respectively, for the quarter ended September 2019. Do the numbers hold clues to what lies ahead for the stock?",Positive,California Water  Service Group (CWT) Beats Q3 Earnings and Revenue Estimates,CWT
6,"Thu, 31 Oct 2019 00:50:36 -0400",The Most Dangerous Dividend Stocks You Can Buy This Earnings Season,Negative,The Most Dangerous Dividend Stocks You Can Buy This Earnings Season,CWT
7,"Thu, 24 Oct 2019 10:32:11 -0400",California Water  Service Group (CWT) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Positive,California Water  Service Group (CWT) Reports Next Week: Wall Street Expects Earnings Growth,CWT
8,"Wed, 16 Oct 2019 16:15:00 -0400",National Award Presented to Barber for Leadership During Camp Fire in November 2018 National Award Presented to Barber for Leadership During Camp Fire in November 2018,Neutral,Cal Water’s George Barber Honored with NAWC Living Water Award,CWT
9,"Thu, 10 Oct 2019 16:30:00 -0400","SAN JOSE, Calif., Oct.  10, 2019  (GLOBE NEWSWIRE) -- California Water Service Group (NYSE: CWT) today announced that its third quarter 2019 earnings results will be released at 9:00 a.m. ET with its teleconference to follow at 11:00 a.m. ET on Thursday, October 31, 2019.",Neutral,California Water Service Group Schedules Third Quarter 2019 Earnings Results Announcement and Teleconference,CWT
10,"Wed, 09 Oct 2019 08:45:00 -0400","SAN JOSE, Calif., Oct.  09, 2019  (GLOBE NEWSWIRE) -- Yesterday, California Water Service (Cal Water), the largest subsidiary of California Water Service Group (NYSE: CWT), jointly filed a formal settlement agreement in its 2018 General Rate Case (GRC) with the Public Advocates Office of the California Public Utilities Commission (CPUC) covering the majority of open matters in the case. The largest component of the GRC is Cal Water’s Infrastructure Improvement Plan for 2019-2021. The settlement details investment plans that the utility and the Public Advocates Office agree should be made to the company’s water infrastructure to continue providing safe, reliable water service to Cal Water customers and communities. The CPUC will consider, but is not required to adopt, the settlement agreement.",Neutral,California Water Service Group Reaches Settlement in 2018 Proposal to Invest in its California Water Systems Through 2021,CWT
11,"Mon, 07 Oct 2019 16:15:00 -0400",K-12 students and teachers encouraged to engage in water conservation projects K-12 students and teachers encouraged to engage in water conservation projects,Neutral,California Water Service Launches and Expands Sixth Annual Classroom Conservation Competition,CWT
12,"Mon, 23 Sep 2019 16:15:00 -0400","SAN JOSE, Calif., Sept.  23, 2019  (GLOBE NEWSWIRE) -- The Great Place to Work® Institute has certified California Water Service Group (Group) (NYSE: CWT) as a Great Place to Work® for the fourth year in a row. This distinction was given to Group for its commitment to employees throughout its California, Hawaii, New Mexico, and Washington subsidiaries.",Neutral,California Water Service Group Designated Great Place to Work® for Fourth Consecutive Year,CWT
13,"Wed, 18 Sep 2019 16:15:00 -0400","SAN JOSE, Calif., Sept.  18, 2019  (GLOBE NEWSWIRE) -- The Environmental Laboratory Accreditation Program (ELAP) has renewed its certification of California Water Service’s (Cal Water) Water Quality Laboratory, enabling the utility to continue conducting in-house testing of water quality samples collected throughout its service areas statewide. The stringent ELAP accreditation, which the utility has held since 1999, is administered by the State Water Resources Control Board.",Neutral,California Water Service’s Water Quality Laboratory Reaccredited By State Water Resources Control Board,CWT
14,"Mon, 16 Sep 2019 16:28:00 -0400","SAN JOSE, Calif., Sept.  16, 2019  (GLOBE NEWSWIRE) -- In the wake of devastating wildfires impacting California residents over recent years, California Water Service (Cal Water) has created an emergency disaster relief program to protect customers affected by wildfires and other natural disasters. The program, established in accordance with California Public Utilities Commission D. 19-07-015, extends water service protections to both residential and small business customers.  ",Neutral,California Water Service Establishes Emergency Relief Program for Customers Affected by Natural Disasters,CWT
15,"Mon, 09 Sep 2019 08:21:00 -0400",Recession fears and lower interest rates have provided a tailwind for stable dividend stocks like American Water Works and American States Water.,Positive,Why These 3 Water Utility Stocks Soared as Much as 20% in August,CWT
16,"Tue, 03 Sep 2019 16:15:00 -0400",Local Fire Departments in California Water Service Areas Eligible for First Annual Program Local Fire Departments in California Water Service Areas Eligible for First Annual Program,Neutral,California Water Service Launches Firefighter Grant Program,CWT
17,"Wed, 28 Aug 2019 10:25:00 -0400","At present, American States Water (AWR) appears to be a better investment choice than California Water Services Group (CWT), given its better return on equity and positive movement in estimates.",Neutral,AWR or CWT: Which Water Utility is a Better Pick Right Now?,CWT
18,"Mon, 19 Aug 2019 16:15:00 -0400","$60,000 in Scholarships Awarded to Students from the Company’s Service Areas $60,000 in Scholarships Awarded to Students from the Company’s Service Areas",Neutral,California Water Service Group Awards College Scholarships for Sixth Consecutive Year,CWT
19,"Fri, 02 Aug 2019 17:47:11 -0400",California Water Service Group (CWT) CEO Martin Kropelnicki on Q2 2019 Results - Earnings Call Transcript,Neutral,California Water Service Group (CWT) CEO Martin Kropelnicki on Q2 2019 Results - Earnings Call Transcript,CWT
20,"Thu, 01 Aug 2019 10:15:06 -0400","California Water  Service Group (CWT) delivered earnings and revenue surprises of -5.41% and 0.42%, respectively, for the quarter ended June 2019. Do the numbers hold clues to what lies ahead for the stock?",Negative,California Water  Service Group (CWT) Q2 Earnings Lag Estimates,CWT
21,"Tue, 09 Jul 2019 07:47:00 -0400",Water Utility Industry Outlook Muddy With Aging Assets,Neutral,Water Utility Industry Outlook Muddy With Aging Assets,CWT
22,"Thu, 25 Apr 2019 17:36:52 -0400",California Water Service's (CWT) CEO Martin Kropelnicki on Q1 2019 Results - Earnings Call Transcript,Neutral,California Water Service's (CWT) CEO Martin Kropelnicki on Q1 2019 Results - Earnings Call Transcript,CWT
23,"Sat, 23 Mar 2019 15:02:00 -0400","Water utility stocks are off to a good start in 2019, with industry giant American Water Works leading the pack with a nearly 18% return.",Positive,The 3 Best-Performing Water Stocks of 2019 So Far,CWT
24,"Fri, 22 Mar 2019 11:32:00 -0400","California Water Service's (CWT) unit, Hawaii Water Service is set to expand its operation in Hawaii through the acquisition of Kalaeloa Water Company.",Neutral,California Water Service (CWT) Arm to Acquire Kalaeloa Water,CWT
25,"Wed, 20 Mar 2019 10:25:00 -0400",American States Water (AWR) appears to be a comparatively better water utility pick than California Water Service (CWT).,Neutral,CWT or AWR: Which Water Utility Stock is a Better Pick?,CWT
